track_id,split,drummer,session,kit,take,stems_dir
Track00001,validation,drummer3,session2,portland,5_rock_100_beat_4-4,data/StemGMD_org_9stem/validation/Track00001
Track00001,train,drummer3,session2,portland,42_rock_110_beat_4-4,data/StemGMD_org_9stem/train/Track00001
Track00002,train,drummer3,session2,portland,45_rock_110_fill_4-4,data/StemGMD_org_9stem/train/Track00002
Track00003,train,drummer3,session2,portland,30_rock_92_beat_4-4,data/StemGMD_org_9stem/train/Track00003
Track00004,train,drummer3,session2,portland,23_rock_92_beat_4-4,data/StemGMD_org_9stem/train/Track00004
Track00005,train,drummer3,session2,portland,16_rock_100_beat_4-4,data/StemGMD_org_9stem/train/Track00005
Track00006,train,drummer3,session2,portland,6_rock_100_beat_4-4,data/StemGMD_org_9stem/train/Track00006
Track00007,train,drummer3,session2,portland,37_rock_92_beat_4-4,data/StemGMD_org_9stem/train/Track00007
Track00008,train,drummer3,session2,portland,24_rock_92_beat_4-4,data/StemGMD_org_9stem/train/Track00008
Track00009,train,drummer3,session2,portland,48_rock_110_beat_4-4,data/StemGMD_org_9stem/train/Track00009
Track00010,train,drummer3,session2,portland,41_hiphop_110_beat_4-4,data/StemGMD_org_9stem/train/Track00010
Track00011,train,drummer3,session2,portland,34_rock_92_beat_4-4,data/StemGMD_org_9stem/train/Track00011
Track00012,train,drummer3,session2,portland,21_rock_92_beat_4-4,data/StemGMD_org_9stem/train/Track00012
Track00013,train,drummer3,session2,portland,18_rock_100_beat_4-4,data/StemGMD_org_9stem/train/Track00013
Track00014,train,drummer3,session2,portland,32_hiphop_92_beat_4-4,data/StemGMD_org_9stem/train/Track00014
Track00001,test,drummer3,session2,portland,11_rock_100_beat_4-4,data/StemGMD_org_9stem/test/Track00001
Track00015,train,drummer3,session2,portland,33_hiphop_92_beat_4-4,data/StemGMD_org_9stem/train/Track00015
Track00016,train,drummer3,session2,portland,4_rock_100_beat_4-4,data/StemGMD_org_9stem/train/Track00016
Track00017,train,drummer3,session2,portland,19_rock_100_beat_4-4,data/StemGMD_org_9stem/train/Track00017
Track00002,validation,drummer3,session2,portland,25_hiphop_92_beat_4-4,data/StemGMD_org_9stem/validation/Track00002
Track00018,train,drummer3,session2,portland,13_rock_100_beat_4-4,data/StemGMD_org_9stem/train/Track00018
Track00019,train,drummer3,session2,portland,17_rock_100_beat_4-4,data/StemGMD_org_9stem/train/Track00019
Track00020,train,drummer3,session2,portland,31_hiphop_92_beat_4-4,data/StemGMD_org_9stem/train/Track00020
Track00021,train,drummer3,session2,portland,1_rock_100_beat_4-4,data/StemGMD_org_9stem/train/Track00021
Track00022,train,drummer3,session2,portland,43_rock_110_beat_4-4,data/StemGMD_org_9stem/train/Track00022
Track00023,train,drummer3,session2,portland,47_rock_110_beat_4-4,data/StemGMD_org_9stem/train/Track00023
Track00024,train,drummer3,session2,portland,27_jazz_92_beat_4-4,data/StemGMD_org_9stem/train/Track00024
Track00025,train,drummer3,session2,portland,38_rock_92_beat_4-4,data/StemGMD_org_9stem/train/Track00025
